index,age,begin_month,car,career,cluster,days_income,days_unemployed,edu_type,email,family_size,family_type,gender,house_type,income_per,income_total,income_type,month_birth,month_unemployed,occyp_type,phone,reality,week_birth,week_unemployed,work_phone,credit
0,38,6.0,1,12,30,10.882416165090284,9190,1,1,2.0,1,1,1,101250.0,202500.0,1,7.0,6.0,1,1,1,1.0,0.0,1,1.0
1,31,5.0,1,4,15,19.156346749226007,9840,2,2,3.0,2,1,2,82500.0,247500.0,1,7.0,4.0,2,1,2,1.0,1.0,1,1.0
2,52,22.0,2,12,8,19.13183963266868,14653,1,1,2.0,1,2,2,225000.0,450000.0,2,0.0,8.0,3,2,2,2.0,1.0,1,2.0
3,41,37.0,1,5,30,11.786961583236321,12996,2,1,2.0,1,1,2,101250.0,202500.0,1,10.0,1.0,4,2,2,3.0,0.0,1,0.0
4,41,26.0,2,5,5,9.187959397969898,12932,1,1,2.0,1,1,2,78750.0,157500.0,3,9.0,11.0,3,1,2,0.0,3.0,1,2.0
5,36,18.0,1,13,15,14.666739095007877,8417,2,2,4.0,1,1,2,67500.0,270000.0,2,3.0,4.0,5,1,2,0.0,2.0,1,1.0
6,48,41.0,1,5,4,16.114180478821364,15592,2,2,1.0,3,1,2,315000.0,315000.0,2,9.0,3.0,6,1,1,2.0,3.0,1,2.0
7,40,53.0,1,14,24,13.290017720023627,9476,2,2,2.0,1,2,2,135000.0,270000.0,1,4.0,3.0,7,1,2,0.0,1.0,1,0.0
8,41,38.0,2,4,20,10.84533349400494,13665,1,2,3.0,1,2,2,60000.0,180000.0,1,0.0,11.0,1,1,2,1.0,0.0,1,2.0
9,43,5.0,1,3,31,6.055110279061604,14477,2,1,2.0,1,1,2,51750.0,103500.0,2,10.0,2.0,8,1,2,3.0,0.0,1,2.0
10,52,40.0,1,6,6,9.094754653130288,16850,2,2,1.0,3,1,2,193500.0,193500.0,2,11.0,9.0,2,2,2,3.0,3.0,2,2.0
11,32,51.0,2,0,32,11.39240506329114,11668,1,1,3.0,1,2,2,45000.0,135000.0,1,7.0,4.0,3,1,2,3.0,2.0,1,2.0
12,32,60.0,2,5,32,11.170212765957446,9776,2,1,3.0,1,1,2,52500.0,157500.0,1,1.0,1.0,9,1,2,1.0,0.0,1,0.0
13,27,41.0,1,6,16,10.921446484912224,7413,1,1,2.0,1,1,2,67500.0,135000.0,2,5.0,7.0,4,2,1,0.0,3.0,1,2.0
