index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,age,employed_year,work_phone,phone,email,occyp_type,family_size,begin_year,credit
1,1,0,1,1,247500.0,1,0,2,0,31.17808219178082,4.219178082191781,0,0,1,1,3,0.4166666666666667,1
2,0,1,1,0,450000.0,0,1,0,0,52.293150684931504,12.147945205479452,0,1,0,4,2,1.8333333333333333,2
3,1,0,1,0,202500.0,1,0,0,0,41.33698630136986,5.7315068493150685,0,1,0,3,2,3.0833333333333335,0
4,1,1,1,0,157500.0,3,1,0,0,41.1972602739726,5.767123287671233,0,0,0,4,2,2.1666666666666665,2
5,1,0,1,2,270000.0,0,0,0,0,36.74794520547945,13.687671232876712,0,0,1,6,4,1.5,1
6,1,0,0,0,315000.0,0,0,3,0,48.136986301369866,5.419178082191781,0,0,1,2,1,3.4166666666666665,2
7,0,0,1,0,270000.0,1,0,0,0,40.81095890410959,14.849315068493151,0,0,1,5,2,4.416666666666667,0
9,1,0,1,0,103500.0,0,0,0,0,43.24657534246575,3.5835616438356164,0,0,0,8,2,0.4166666666666667,2
10,1,0,1,0,193500.0,0,0,3,0,52.227397260273975,6.063013698630137,1,1,1,1,1,3.3333333333333335,2
11,0,1,1,1,135000.0,1,1,0,0,32.21643835616438,0.2493150684931507,0,0,0,4,3,4.25,2
12,1,1,1,1,157500.0,1,0,0,0,32.706849315068496,5.923287671232877,0,0,0,7,3,5.0,0
13,1,0,0,0,135000.0,0,1,0,0,27.087671232876712,6.778082191780822,0,1,0,3,2,3.4166666666666665,2
14,1,0,1,0,157500.0,2,0,1,0,62.8,0.0,0,1,0,0,1,3.4166666666666665,2
15,0,1,1,2,157500.0,0,0,0,1,35.23013698630137,11.112328767123287,0,1,0,5,4,5.0,0
16,0,0,1,0,180000.0,0,0,0,0,53.172602739726024,12.473972602739726,0,1,0,1,2,0.16666666666666666,1
17,0,0,0,0,270000.0,1,0,2,1,24.254794520547946,2.695890410958904,0,0,1,3,2,1.1666666666666667,2
18,1,0,1,0,216000.0,2,0,0,0,63.323287671232876,0.0,0,0,0,0,2,3.0833333333333335,2
21,1,0,0,0,157500.0,2,0,0,0,58.227397260273975,0.0,0,1,0,0,2,0.5833333333333334,2
22,1,0,0,0,157500.0,1,0,2,0,41.63835616438356,3.717808219178082,0,0,0,1,2,1.8333333333333333,0
24,1,0,0,0,202500.0,2,0,1,0,61.26301369863014,0.0,0,1,0,0,1,0.4166666666666667,2
25,1,0,1,1,225000.0,1,0,0,0,38.515068493150686,10.12054794520548,0,0,0,16,3,0.3333333333333333,2
26,0,1,0,1,135000.0,0,1,0,0,48.88493150684931,9.186301369863013,1,0,0,1,3,1.0833333333333333,2
28,0,1,0,0,112500.0,1,0,0,1,60.57808219178082,6.36986301369863,1,1,0,5,2,3.9166666666666665,2
29,1,0,1,0,121500.0,1,0,0,5,32.92328767123288,4.6876712328767125,0,1,0,3,2,1.8333333333333333,0
30,0,1,0,0,225000.0,1,0,0,0,36.131506849315066,0.6219178082191781,0,0,0,4,2,2.75,2
31,0,1,1,0,135000.0,1,1,0,0,32.224657534246575,9.457534246575342,1,0,1,1,2,1.5,0
32,1,0,1,0,135000.0,0,1,0,0,36.43561643835616,4.46027397260274,0,0,0,1,2,0.16666666666666666,0
33,0,0,1,0,202500.0,0,0,0,0,52.602739726027394,0.947945205479452,0,1,0,6,2,2.5,2
34,0,1,1,1,270000.0,0,0,0,0,39.69315068493151,4.465753424657534,0,1,0,1,3,1.8333333333333333,0
35,1,1,0,0,225000.0,0,1,2,0,39.556164383561644,6.6657534246575345,0,0,0,4,2,1.6666666666666667,2
36,1,1,0,0,225000.0,0,1,1,0,55.342465753424655,2.8,1,1,0,7,1,1.1666666666666667,2
