index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,age,employed_year,work_phone,phone,email,occyp_type,family_size,begin_year
1,1,0,1,1,247500.0,1,0,2,0,31.17808219178082,4.219178082191781,0,0,1,1,3.0,0.4166666666666667
2,0,1,1,0,450000.0,0,1,0,0,52.293150684931504,12.147945205479452,0,1,0,4,2.0,1.8333333333333333
3,1,0,1,0,202500.0,1,0,0,0,41.33698630136986,5.7315068493150685,0,1,0,3,2.0,3.0833333333333335
4,1,1,1,0,157500.0,3,1,0,0,41.1972602739726,5.767123287671233,0,0,0,4,2.0,2.1666666666666665
5,1,0,1,2,270000.0,0,0,0,0,36.74794520547945,13.687671232876712,0,0,1,6,4.0,1.5
6,1,0,0,0,315000.0,0,0,3,0,48.136986301369866,5.419178082191781,0,0,1,2,1.0,3.4166666666666665
7,0,0,1,0,270000.0,1,0,0,0,40.81095890410959,14.849315068493151,0,0,1,5,2.0,4.416666666666667
9,1,0,1,0,103500.0,0,0,0,0,43.24657534246575,3.5835616438356164,0,0,0,8,2.0,0.4166666666666667
10,1,0,1,0,193500.0,0,0,3,0,52.227397260273975,6.063013698630137,1,1,1,1,1.0,3.3333333333333335
11,0,1,1,1,135000.0,1,1,0,0,32.21643835616438,0.2493150684931507,0,0,0,4,3.0,4.25
12,1,1,1,1,157500.0,1,0,0,0,32.706849315068496,5.923287671232877,0,0,0,7,3.0,5.0
13,1,0,0,0,135000.0,0,1,0,0,27.087671232876712,6.778082191780822,0,1,0,3,2.0,3.4166666666666665
14,1,0,1,0,157500.0,2,0,1,0,62.8,-0.0,0,1,0,0,1.0,3.4166666666666665
15,0,1,1,2,157500.0,0,0,0,1,35.23013698630137,11.112328767123287,0,1,0,5,4.0,5.0
16,0,0,1,0,180000.0,0,0,0,0,53.172602739726024,12.473972602739726,0,1,0,1,2.0,0.16666666666666666
17,0,0,0,0,270000.0,1,0,2,1,24.254794520547946,2.695890410958904,0,0,1,3,2.0,1.1666666666666667
18,1,0,1,0,216000.0,2,0,0,0,63.323287671232876,-0.0,0,0,0,0,2.0,3.0833333333333335
21,1,0,0,0,157500.0,2,0,0,0,58.227397260273975,-0.0,0,1,0,0,2.0,0.5833333333333334
22,1,0,0,0,157500.0,1,0,2,0,41.63835616438356,3.717808219178082,0,0,0,1,2.0,1.8333333333333333
24,1,0,0,0,202500.0,2,0,1,0,61.26301369863014,-0.0,0,1,0,0,1.0,0.4166666666666667
25,1,0,1,1,225000.0,1,0,0,0,38.515068493150686,10.12054794520548,0,0,0,16,3.0,0.3333333333333333
26,0,1,0,1,135000.0,0,1,0,0,48.88493150684931,9.186301369863013,1,0,0,1,3.0,1.0833333333333333
28,0,1,0,0,112500.0,1,0,0,1,60.57808219178082,6.36986301369863,1,1,0,5,2.0,3.9166666666666665
29,1,0,1,0,121500.0,1,0,0,5,32.92328767123288,4.6876712328767125,0,1,0,3,2.0,1.8333333333333333
30,0,1,0,0,225000.0,1,0,0,0,36.131506849315066,0.6219178082191781,0,0,0,4,2.0,2.75
31,0,1,1,0,135000.0,1,1,0,0,32.224657534246575,9.457534246575342,1,0,1,1,2.0,1.5
32,1,0,1,0,135000.0,0,1,0,0,36.43561643835616,4.46027397260274,0,0,0,1,2.0,0.16666666666666666
33,0,0,1,0,202500.0,0,0,0,0,52.602739726027394,0.947945205479452,0,1,0,6,2.0,2.5
34,0,1,1,1,270000.0,0,0,0,0,39.69315068493151,4.465753424657534,0,1,0,1,3.0,1.8333333333333333
35,1,1,0,0,225000.0,0,1,2,0,39.556164383561644,6.6657534246575345,0,0,0,4,2.0,1.6666666666666667
36,1,1,0,0,225000.0,0,1,1,0,55.342465753424655,2.8,1,1,0,7,1.0,1.1666666666666667
37,0,1,1,0,585000.0,1,0,0,1,45.62465753424657,4.50958904109589,0,0,0,5,2.0,0.6666666666666666
38,1,0,1,0,202500.0,0,0,0,0,37.21095890410959,9.512328767123288,0,0,0,3,2.0,3.4166666666666665
39,0,1,1,2,112500.0,0,0,0,0,35.676712328767124,4.383561643835616,0,0,0,1,4.0,3.25
40,0,1,1,0,90900.0,0,0,0,0,59.45205479452055,6.646575342465753,0,0,0,1,2.0,1.75
41,1,0,1,2,99000.0,1,1,0,0,34.93698630136986,1.1863013698630136,0,1,0,7,4.0,1.5833333333333333
42,0,0,0,1,270000.0,0,0,0,0,27.24109589041096,1.5178082191780822,1,0,0,4,3.0,2.9166666666666665
43,1,0,0,0,67500.0,0,0,0,0,27.295890410958904,5.13972602739726,0,0,0,3,2.0,0.6666666666666666
44,0,0,0,0,247500.0,0,1,2,0,41.43835616438356,0.5452054794520548,0,0,0,5,2.0,2.1666666666666665
45,0,1,0,0,405000.0,0,1,0,0,51.10958904109589,8.767123287671232,1,1,0,6,2.0,0.3333333333333333
46,1,0,0,0,135000.0,2,0,4,0,57.80821917808219,-0.0,0,1,0,0,1.0,2.0
47,1,1,1,0,292500.0,1,1,0,0,50.43561643835616,9.53972602739726,0,0,0,3,2.0,4.0
48,1,0,1,0,99000.0,2,0,0,0,64.61643835616438,-0.0,0,0,0,0,2.0,0.3333333333333333
50,1,1,0,1,90000.0,0,0,0,0,38.221917808219175,3.0164383561643837,1,0,0,3,3.0,0.3333333333333333
51,0,1,1,0,495000.0,0,2,0,1,24.43013698630137,3.0164383561643837,0,0,1,5,2.0,0.8333333333333334
52,1,0,1,0,54000.0,2,0,0,0,65.87397260273973,-0.0,0,1,0,0,2.0,3.0833333333333335
53,1,1,1,2,306000.0,3,1,0,0,37.0986301369863,10.863013698630137,0,0,0,2,4.0,3.5
55,1,0,1,0,180000.0,0,0,0,0,37.961643835616435,8.246575342465754,0,0,0,1,2.0,2.0
56,1,1,1,0,130500.0,0,0,0,0,44.21095890410959,25.72876712328767,0,1,0,1,2.0,2.4166666666666665
57,1,0,1,0,225000.0,1,1,1,0,46.66027397260274,1.7589041095890412,0,0,0,2,1.0,0.25
58,1,0,1,0,144000.0,2,0,0,0,63.92876712328767,-0.0,0,0,0,0,2.0,1.9166666666666667
59,1,0,1,0,360000.0,2,1,0,0,62.97260273972603,-0.0,0,1,0,0,2.0,2.0833333333333335
60,0,1,1,0,112500.0,2,0,3,0,58.62191780821918,-0.0,0,0,0,0,1.0,0.08333333333333333
61,0,1,0,1,270000.0,1,1,0,0,31.15890410958904,3.756164383561644,0,0,0,4,3.0,1.25
62,1,1,1,0,225000.0,0,1,0,0,47.676712328767124,8.638356164383561,0,1,0,2,2.0,3.3333333333333335
63,0,1,1,0,315000.0,0,1,0,0,42.701369863013696,9.142465753424657,0,0,0,4,2.0,1.75
64,0,1,0,0,67500.0,1,0,1,2,24.786301369863015,1.9616438356164383,0,0,0,10,1.0,2.6666666666666665
65,1,0,1,0,40500.0,0,0,0,0,34.87397260273973,13.523287671232877,1,0,0,11,2.0,0.8333333333333334
66,0,0,1,1,144000.0,0,0,0,0,37.701369863013696,7.624657534246575,0,0,0,1,3.0,0.3333333333333333
67,1,0,1,2,157500.0,1,1,0,0,33.24657534246575,3.3315068493150686,0,0,0,6,4.0,0.16666666666666666
68,1,0,0,0,180000.0,0,0,0,0,28.243835616438357,4.410958904109589,0,0,0,1,2.0,1.1666666666666667
69,1,0,1,0,157500.0,0,1,0,0,42.36164383561644,8.134246575342466,0,0,1,8,2.0,4.916666666666667
70,0,0,1,0,81000.0,1,1,1,0,27.052054794520547,5.282191780821917,0,1,0,1,1.0,3.25
71,0,1,0,2,202500.0,0,0,0,0,43.57260273972603,10.375342465753425,0,0,0,1,4.0,4.5
73,1,0,1,0,180000.0,2,0,0,0,63.75068493150685,-0.0,0,1,0,0,2.0,2.8333333333333335
74,1,0,1,1,67500.0,0,0,0,0,28.356164383561644,0.6,1,1,0,3,3.0,2.0833333333333335
75,1,1,1,0,315000.0,1,0,0,0,42.88493150684931,15.068493150684931,0,0,1,2,2.0,2.8333333333333335
77,1,0,0,0,135000.0,0,1,1,0,26.898630136986302,1.4246575342465753,0,0,0,2,1.0,0.5833333333333334
78,1,1,1,0,112500.0,0,0,0,0,34.76712328767123,0.6328767123287671,1,0,0,3,2.0,1.9166666666666667
79,1,1,1,1,225000.0,0,1,3,0,40.59178082191781,4.580821917808219,0,0,0,2,2.0,0.16666666666666666
80,1,0,1,0,247500.0,1,0,2,0,48.93698630136986,0.5808219178082191,0,0,0,1,2.0,0.16666666666666666
81,0,1,1,0,135000.0,0,0,0,0,28.257534246575343,2.6356164383561644,0,0,1,3,2.0,-0.0
82,1,1,1,0,216000.0,0,1,2,0,41.846575342465755,3.8986301369863012,0,0,1,7,2.0,4.416666666666667
83,1,0,0,2,180000.0,0,1,0,0,32.61643835616438,4.657534246575342,0,0,0,6,4.0,3.1666666666666665
84,0,1,1,0,135000.0,2,0,0,0,64.55616438356165,-0.0,0,1,0,0,2.0,2.25
85,0,1,0,0,184500.0,0,0,0,2,49.35068493150685,3.328767123287671,0,0,0,1,2.0,3.4166666666666665
86,0,1,1,1,112500.0,0,0,0,0,34.441095890410956,1.2356164383561643,1,0,1,5,3.0,3.75
87,1,0,1,0,270000.0,1,0,4,0,36.35616438356164,0.6438356164383562,1,1,1,2,1.0,4.666666666666667
88,1,1,1,0,360000.0,1,0,0,0,55.92328767123288,14.868493150684932,0,0,0,4,2.0,3.75
89,0,0,0,0,450000.0,1,2,0,0,39.63013698630137,11.356164383561644,1,1,0,4,2.0,4.916666666666667
90,1,0,1,0,45000.0,3,0,0,0,55.342465753424655,25.764383561643836,1,0,0,11,2.0,2.5
91,1,1,1,0,202500.0,0,0,0,0,51.35342465753425,8.186301369863013,0,0,0,12,2.0,1.6666666666666667
92,0,1,1,1,135000.0,1,0,0,0,33.397260273972606,1.893150684931507,0,0,0,1,3.0,0.4166666666666667
93,1,0,1,0,202500.0,1,0,1,0,52.2,9.942465753424658,0,0,0,6,1.0,1.8333333333333333
94,1,0,1,0,180000.0,2,0,0,0,65.12328767123287,-0.0,0,0,0,0,2.0,2.1666666666666665
95,0,0,1,0,79650.0,2,0,0,0,44.057534246575344,-0.0,0,1,0,0,2.0,1.1666666666666667
96,0,0,1,0,450000.0,1,0,0,0,64.86027397260274,5.717808219178083,0,0,0,10,2.0,4.666666666666667
97,0,1,1,0,157500.0,0,0,2,0,25.67945205479452,3.3205479452054796,0,0,0,5,2.0,3.8333333333333335
98,0,1,1,0,450000.0,1,1,1,0,29.69041095890411,1.610958904109589,0,0,1,3,1.0,0.4166666666666667
99,1,0,0,0,270000.0,3,0,3,0,53.04931506849315,33.78630136986301,0,1,1,8,1.0,2.9166666666666665
100,1,0,1,0,135000.0,0,1,0,0,60.58082191780822,23.263013698630136,0,0,0,12,2.0,0.75
101,1,0,1,0,81000.0,0,0,0,0,53.865753424657534,8.345205479452055,1,1,0,4,2.0,0.16666666666666666
102,1,0,0,1,135000.0,1,0,0,0,33.61369863013699,1.6547945205479453,0,0,0,4,3.0,1.0
103,0,1,0,0,315000.0,0,1,0,0,43.35616438356164,10.191780821917808,1,1,0,4,2.0,1.0
104,0,1,1,0,225000.0,1,1,1,0,43.81917808219178,6.950684931506849,0,1,0,3,1.0,0.5833333333333334
105,0,1,1,0,135000.0,1,0,0,0,27.353424657534248,7.13972602739726,0,0,0,1,2.0,0.4166666666666667
108,1,0,1,0,153000.0,0,1,1,0,29.484931506849314,1.8712328767123287,0,1,0,2,1.0,1.8333333333333333
109,1,0,1,0,126000.0,0,0,0,0,62.49589041095891,6.120547945205479,1,1,0,6,2.0,1.0833333333333333
110,0,1,1,0,315000.0,1,1,0,0,35.1945205479452,0.44931506849315067,0,0,0,4,2.0,4.75
111,0,1,1,1,225000.0,0,0,0,0,44.31506849315068,6.495890410958904,0,0,0,5,3.0,3.6666666666666665
112,1,0,0,0,193500.0,0,0,1,0,48.83835616438356,0.5506849315068493,0,1,0,1,1.0,0.3333333333333333
113,1,0,1,2,90000.0,1,0,0,0,47.62739726027397,3.117808219178082,0,0,0,9,4.0,3.0
114,0,1,1,2,135000.0,0,1,0,0,31.682191780821917,8.065753424657535,0,0,1,4,4.0,3.5833333333333335
115,1,0,0,0,81000.0,2,0,0,0,57.31506849315068,-0.0,0,0,0,0,2.0,4.083333333333333
116,1,1,1,1,382500.0,0,0,0,0,39.224657534246575,7.536986301369863,0,0,0,4,3.0,0.9166666666666666
117,1,0,1,0,202500.0,1,0,0,0,44.30958904109589,1.8465753424657534,0,0,0,3,2.0,2.25
118,1,0,1,0,112500.0,0,1,0,0,50.02465753424657,15.76986301369863,0,1,0,3,2.0,3.9166666666666665
119,1,0,1,2,144000.0,0,0,0,0,33.95342465753425,5.079452054794521,1,1,0,9,4.0,-0.0
120,1,0,1,0,157500.0,2,0,4,0,58.895890410958906,-0.0,0,0,0,0,1.0,0.3333333333333333
121,1,0,0,0,144000.0,0,0,0,2,45.59178082191781,27.364383561643837,1,1,0,3,2.0,2.9166666666666665
122,1,1,1,2,283500.0,3,1,0,0,35.347945205479455,11.287671232876713,0,0,0,2,4.0,3.25
