index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,work_phone,phone,email,occyp_type,family_size,begin_month,credit
0,1,0,0,0,202500.0,1,1,0,2,-13899,-4709,1,0,0,0,0,2.0,-6.0,1.0
1,1,0,1,1,247500.0,1,0,2,0,-11380,-1540,1,0,0,1,1,3.0,-5.0,1.0
2,0,1,1,0,450000.0,0,1,0,0,-19087,-4434,1,0,1,0,4,2.0,-22.0,2.0
3,1,0,1,0,202500.0,1,0,0,0,-15088,-2092,1,0,1,0,3,2.0,-37.0,0.0
4,1,1,1,0,157500.0,3,1,0,0,-15037,-2105,1,0,0,0,4,2.0,-26.0,2.0
5,1,0,1,2,270000.0,0,0,0,0,-13413,-4996,1,0,0,1,6,4.0,-18.0,1.0
6,1,0,0,0,315000.0,0,0,3,0,-17570,-1978,1,0,0,1,2,1.0,-41.0,2.0
7,0,0,1,0,270000.0,1,0,0,0,-14896,-5420,1,0,0,1,5,2.0,-53.0,0.0
8,0,1,1,1,180000.0,1,1,0,0,-15131,-1466,1,0,0,1,0,3.0,-38.0,2.0
9,1,0,1,0,103500.0,0,0,0,0,-15785,-1308,1,0,0,0,8,2.0,-5.0,2.0
10,1,0,1,0,193500.0,0,0,3,0,-19063,-2213,1,1,1,1,1,1.0,-40.0,2.0
11,0,1,1,1,135000.0,1,1,0,0,-11759,-91,1,0,0,0,4,3.0,-51.0,2.0
12,1,1,1,1,157500.0,1,0,0,0,-11938,-2162,1,0,0,0,7,3.0,-60.0,0.0
13,1,0,0,0,135000.0,0,1,0,0,-9887,-2474,1,0,1,0,3,2.0,-41.0,2.0
14,1,0,1,0,157500.0,2,0,1,0,-22922,365243,1,0,1,0,0,1.0,-41.0,2.0
15,0,1,1,2,157500.0,0,0,0,1,-12859,-4056,1,0,1,0,5,4.0,-60.0,0.0
16,0,0,1,0,180000.0,0,0,0,0,-19408,-4553,1,0,1,0,1,2.0,-2.0,1.0
17,0,0,0,0,270000.0,1,0,2,1,-8853,-984,1,0,0,1,3,2.0,-14.0,2.0
18,1,0,1,0,216000.0,2,0,0,0,-23113,365243,1,0,0,0,0,2.0,-37.0,2.0
19,1,0,1,0,180000.0,0,0,0,0,-13727,-6031,1,0,0,0,0,2.0,-7.0,2.0
20,0,0,0,0,180000.0,0,0,0,0,-19850,-1753,1,0,1,0,0,2.0,-35.0,2.0
21,1,0,0,0,157500.0,2,0,0,0,-21253,365243,1,0,1,0,0,2.0,-7.0,2.0
22,1,0,0,0,157500.0,1,0,2,0,-15198,-1357,1,0,0,0,1,2.0,-22.0,0.0
23,0,1,0,0,225000.0,0,0,0,2,-14542,-444,1,1,1,1,0,2.0,-18.0,2.0
24,1,0,0,0,202500.0,2,0,1,0,-22361,365243,1,0,1,0,0,1.0,-5.0,2.0
25,1,0,1,1,225000.0,1,0,0,0,-14058,-3694,1,0,0,0,16,3.0,-4.0,2.0
26,0,1,0,1,135000.0,0,1,0,0,-17843,-3353,1,1,0,0,1,3.0,-13.0,2.0
